0
100
10
[INFO] [1588948810.290988, 0.000000]: reran loop
[INFO] [1588948811.322532, 601.407000]: Setpoint added
inside OA detect
[INFO] [1588948811.328883, 601.422000]: reran loop
[INFO] [1588948811.394162, 601.477000]: reached callback
[INFO] [1588948811.491011, 601.580000]: reached callback
[INFO] [1588948811.608696, 601.679000]: reached callback
[INFO] [1588948811.696389, 601.782000]: reached callback
[INFO] [1588948811.806604, 601.879000]: reached callback
[INFO] [1588948811.897183, 601.981000]: reached callback
[INFO] [1588948812.006788, 602.077000]: reached callback
[INFO] [1588948812.098537, 602.180000]: reached callback
[INFO] [1588948812.207046, 602.278000]: reached callback
[INFO] [1588948812.302342, 602.383000]: reached callback
[INFO] [1588948812.347806, 602.430000]: Setpoint added
inside OA detect
[INFO] [1588948812.350411, 602.430000]: reran loop
[INFO] [1588948812.411920, 602.483000]: reached callback
[INFO] [1588948812.416334, 602.490000]: reached callback
[INFO] [1588948812.501425, 602.577000]: reached callback
[INFO] [1588948812.505999, 602.580000]: reached callback
[INFO] [1588948812.620014, 602.680000]: reached callback
[INFO] [1588948812.623961, 602.684000]: reached callback
[INFO] [1588948812.707456, 602.781000]: reached callback
[INFO] [1588948812.712476, 602.790000]: reached callback
[INFO] [1588948812.819224, 602.878000]: reached callback
[INFO] [1588948812.823389, 602.882000]: reached callback
[INFO] [1588948812.906804, 602.985000]: reached callback
[INFO] [1588948812.909332, 602.990000]: reached callback
[INFO] [1588948813.013460, 603.078000]: reached callback
[INFO] [1588948813.017665, 603.085000]: reached callback
[INFO] [1588948813.107253, 603.185000]: reached callback
[INFO] [1588948813.110100, 603.190000]: reached callback
[INFO] [1588948813.211937, 603.280000]: reached callback
[INFO] [1588948813.215157, 603.282000]: reached callback
[INFO] [1588948813.297219, 603.382000]: reached callback
[INFO] [1588948813.299821, 603.386000]: reached callback
[INFO] [1588948813.339192, 603.430000]: Setpoint added
inside OA detect
[INFO] [1588948813.341674, 603.430000]: reran loop
[INFO] [1588948813.405535, 603.480000]: reached callback
[INFO] [1588948813.409306, 603.482000]: reached callback
[INFO] [1588948813.412029, 603.490000]: reached callback
[INFO] [1588948813.493216, 603.583000]: reached callback
[INFO] [1588948813.496779, 603.584000]: reached callback
[INFO] [1588948813.500414, 603.590000]: reached callback
[INFO] [1588948813.601444, 603.678000]: reached callback
[INFO] [1588948813.603778, 603.680000]: reached callback
[INFO] [1588948813.606940, 603.685000]: reached callback
[INFO] [1588948813.687356, 603.781000]: reached callback
[INFO] [1588948813.690396, 603.784000]: reached callback
[INFO] [1588948813.693173, 603.788000]: reached callback
[INFO] [1588948813.795763, 603.882000]: reached callback
[INFO] [1588948813.799745, 603.886000]: reached callback
[INFO] [1588948813.803136, 603.889000]: reached callback
[INFO] [1588948813.889090, 603.978000]: reached callback
[INFO] [1588948813.891288, 603.981000]: reached callback
[INFO] [1588948813.894163, 603.984000]: reached callback
[INFO] [1588948814.000635, 604.079000]: reached callback
[INFO] [1588948814.003333, 604.084000]: reached callback
[INFO] [1588948814.005743, 604.090000]: reached callback
[INFO] [1588948814.091042, 604.181000]: reached callback
[INFO] [1588948814.092798, 604.184000]: reached callback
[INFO] [1588948814.094940, 604.187000]: reached callback
[INFO] [1588948814.191429, 604.279000]: reached callback
[INFO] [1588948814.194764, 604.284000]: reached callback
[INFO] [1588948814.199820, 604.294000]: reached callback
[INFO] [1588948814.280261, 604.385000]: reached callback
[INFO] [1588948814.283656, 604.390000]: reached callback
[INFO] [1588948814.285583, 604.390000]: reached callback
[INFO] [1588948814.322866, 604.430000]: Setpoint added
inside OA detect
